week,country,temperature,rainfall,humidity,sanitation_score,resistance_gene_score,git_infection_cases,amr_cases
2023-05-13,Uganda,22.4,42.47,73.21,0.3,0.86,68,42
2023-05-20,Uganda,26.04,31.5,51.11,0.49,0.59,42,19
2023-05-27,Uganda,27.54,45.34,80.41,0.36,0.35,54,16
2023-06-03,Uganda,22.47,34.12,71.13,0.88,0.93,38,25
2023-06-10,Uganda,23.9,37.65,75.95,0.77,0.71,63,32
2023-06-17,Uganda,25.32,16.32,66.83,0.02,0.05,71,9
2023-06-24,Uganda,24.98,23.41,54.64,0.84,0.56,45,19
2023-07-01,Uganda,24.43,46.61,57.44,0.42,0.67,66,32
2023-07-08,Uganda,28.12,8.47,64.45,0.44,0.32,50,14
2023-07-15,Uganda,22.03,38.64,77.53,0.45,0.48,61,23
2023-07-22,Uganda,30.59,96.75,71.74,0.83,0.79,42,24
2023-07-29,Uganda,24.42,85.62,89.15,0.12,0.82,54,31
2023-08-05,Uganda,30.43,48.41,57.39,0.33,0.37,45,14
2023-08-12,Uganda,28.72,23.56,81.66,0.85,0.82,48,28
2023-08-19,Uganda,24.89,22.04,81.67,0.02,0.66,51,25
2023-08-26,Uganda,33.31,34.96,56.42,0.28,0.49,75,29
2023-09-02,Uganda,31.02,8.16,83.58,0.76,0.41,52,17
2023-09-09,Uganda,27.17,15.23,58.29,0.52,0.97,50,34
2023-09-16,Uganda,18.74,21.85,52.85,0.32,0.63,51,24
2023-09-23,Uganda,28.19,9.0,80.28,0.64,0.8,60,34
2023-09-30,Uganda,25.22,47.34,77.25,0.84,0.87,40,24
2023-10-07,Uganda,29.0,44.86,55.78,0.28,0.78,54,30
2023-10-14,Uganda,25.71,9.81,74.45,0.13,0.3,57,15
2023-10-21,Uganda,27.69,79.34,56.76,0.87,0.49,53,21
2023-10-28,Uganda,29.66,50.52,68.11,0.96,0.5,52,20
2023-11-04,Uganda,24.23,11.65,61.31,0.21,0.39,71,23
2023-11-11,Uganda,25.92,0.34,78.97,0.85,0.8,51,29
2023-11-18,Uganda,26.34,37.52,60.78,0.9,0.23,49,11
2023-11-25,Uganda,26.12,27.26,62.24,0.04,0.42,49,17
2023-12-02,Uganda,18.96,52.61,79.16,0.42,0.38,52,17
2023-12-09,Uganda,25.58,40.95,84.08,0.69,0.95,65,43
2023-12-16,Uganda,21.2,38.79,58.61,0.59,0.13,39,6
2023-12-23,Uganda,28.11,70.52,53.46,0.05,0.16,55,10
2022-01-01,Tanzania,27.3,72.03,84.07,0.43,0.02,60,6
2022-01-08,Tanzania,20.61,23.21,62.58,0.97,0.22,60,13
2022-01-15,Tanzania,27.92,70.94,58.28,0.21,0.5,61,24
2022-01-22,Tanzania,30.88,8.01,52.85,0.38,0.0,59,5
2022-01-29,Tanzania,26.36,22.45,63.16,0.27,0.6,53,24
2022-02-05,Tanzania,21.22,24.17,78.86,0.5,0.82,64,37
2022-02-12,Tanzania,24.82,43.18,81.88,0.88,0.68,45,22
2022-02-19,Tanzania,26.78,50.39,79.02,0.79,0.99,45,31
2022-02-26,Tanzania,22.58,29.54,58.05,0.86,0.48,61,23
2022-03-05,Tanzania,31.68,8.08,63.04,0.41,0.79,57,32
2022-03-12,Tanzania,24.29,71.38,84.32,0.34,0.11,50,8
2022-03-19,Tanzania,18.53,14.11,50.94,0.64,0.68,53,26
2022-03-26,Tanzania,26.69,16.37,87.04,0.25,0.44,58,21
2022-04-02,Tanzania,20.28,31.2,82.64,0.18,0.4,59,20
2022-04-09,Tanzania,21.22,9.86,85.17,0.55,0.03,45,5
2022-04-16,Tanzania,28.04,58.04,51.17,0.07,0.92,63,41
2022-04-23,Tanzania,22.14,20.35,83.53,0.12,0.32,40,11
2022-04-30,Tanzania,21.88,20.58,60.59,0.03,0.04,61,7
2022-05-07,Tanzania,24.37,10.79,65.82,0.45,0.51,41,16
2022-05-14,Tanzania,27.32,43.44,57.45,0.61,0.25,57,14
2022-05-21,Tanzania,25.31,85.13,77.19,0.38,0.73,61,32
2022-05-28,Tanzania,24.86,12.21,69.75,0.8,0.12,46,7
2022-06-04,Tanzania,24.14,8.35,83.22,0.24,0.58,56,24
2022-06-11,Tanzania,20.48,57.9,82.8,0.54,0.43,52,18
2022-06-18,Tanzania,30.53,20.52,70.24,0.64,0.9,61,39
2022-06-25,Tanzania,26.58,7.05,69.33,0.8,0.5,46,18
2022-07-02,Tanzania,23.92,73.3,83.21,0.34,0.22,56,13
2022-07-09,Tanzania,26.49,10.09,50.84,0.37,0.46,44,16
2022-07-16,Tanzania,22.77,39.83,80.84,0.4,0.77,55,30
2022-07-23,Tanzania,27.46,29.54,72.5,0.98,0.93,48,31
2022-07-30,Tanzania,23.98,66.02,72.88,0.33,0.06,70,9
2022-08-06,Tanzania,25.89,7.49,81.68,0.78,0.86,57,34
2022-08-13,Tanzania,27.73,22.24,88.18,0.68,0.17,37,7
2022-08-20,Tanzania,22.67,74.32,77.13,0.07,0.37,68,21
2022-08-27,Tanzania,27.89,28.35,72.41,0.34,0.02,58,6
2022-09-03,Tanzania,24.27,9.43,74.0,0.94,0.49,57,22
2022-09-10,Tanzania,23.94,50.27,68.31,0.79,0.17,52,10
2022-09-17,Tanzania,23.95,53.84,58.69,0.55,0.06,41,5
2022-09-24,Tanzania,29.39,28.66,65.42,0.5,0.7,47,24
2022-10-01,Tanzania,21.88,9.21,57.84,0.02,0.22,71,16
2022-10-08,Tanzania,24.36,16.67,74.84,0.08,0.65,64,31
2022-10-15,Tanzania,25.0,56.06,73.04,0.37,0.72,63,33
2022-10-22,Tanzania,26.23,23.07,63.72,0.75,0.63,46,21
2022-10-29,Tanzania,26.12,50.37,57.34,1.0,0.71,52,27
2022-11-05,Tanzania,24.53,61.79,53.67,0.55,0.65,53,25
2022-11-12,Tanzania,26.86,15.86,61.73,0.33,0.09,78,12
2022-11-19,Tanzania,23.39,28.84,50.19,0.15,0.66,56,27
2022-11-26,Tanzania,27.44,14.27,50.48,0.68,0.77,50,28
2022-12-03,Tanzania,25.51,12.85,61.55,0.01,0.1,58,9
2022-12-10,Tanzania,25.93,19.03,70.67,0.24,0.95,55,37
2022-12-17,Tanzania,26.05,54.9,50.72,0.27,0.98,64,43
2022-12-24,Tanzania,23.7,12.88,61.66,0.84,0.16,57,11
2022-12-31,Tanzania,21.38,31.24,74.62,0.17,0.11,65,10
2023-01-07,Tanzania,24.52,26.86,55.76,0.14,0.59,60,27
2023-01-14,Tanzania,24.43,14.15,56.02,0.19,0.46,44,16
2023-01-21,Tanzania,22.98,14.31,54.71,0.78,0.63,39,18
2023-01-28,Tanzania,27.21,7.58,69.57,0.99,0.76,63,34
2023-02-04,Tanzania,27.01,21.11,71.91,0.13,0.99,72,49
2023-02-11,Tanzania,25.37,14.58,54.86,0.4,0.8,44,25
2023-02-18,Tanzania,25.86,71.37,74.47,0.08,0.67,68,34
2023-02-25,Tanzania,25.37,10.74,88.77,0.12,0.34,52,15
2023-03-04,Tanzania,21.85,35.92,52.28,0.37,0.53,56,23
2023-03-11,Tanzania,25.82,23.8,72.63,0.14,0.3,42,11
2023-03-18,Tanzania,26.16,51.23,69.32,0.28,0.63,54,25
2023-03-25,Tanzania,31.75,4.13,51.09,0.36,0.57,55,24
2023-04-01,Tanzania,21.09,8.7,77.18,0.2,0.8,52,30
2023-04-08,Tanzania,22.15,7.08,61.28,0.61,0.32,43,12
2023-04-15,Tanzania,27.76,22.55,71.61,0.97,0.91,51,32
2023-04-22,Tanzania,22.61,14.51,52.3,0.14,0.38,63,20
2023-04-29,Tanzania,21.55,31.64,81.66,0.18,0.79,62,35
2023-05-06,Tanzania,20.52,26.58,73.12,0.58,0.5,51,20
2023-05-13,Tanzania,23.69,1.3,64.24,0.82,0.39,57,18
2023-05-20,Tanzania,24.62,17.29,50.39,0.91,0.92,40,26
2023-05-27,Tanzania,28.1,3.6,53.57,0.54,0.84,39,23
2023-06-03,Tanzania,18.42,28.47,87.22,0.3,0.89,59,37
2023-06-10,Tanzania,18.11,40.54,89.02,0.85,0.02,61,6
2023-06-17,Tanzania,26.35,31.79,84.16,0.44,0.96,66,44
2023-06-24,Tanzania,22.78,21.17,84.37,0.65,0.32,42,12
2023-07-01,Tanzania,23.06,16.96,83.77,0.39,0.82,68,40
2023-07-08,Tanzania,23.67,43.51,58.22,0.85,0.04,65,7
2023-07-15,Tanzania,25.08,18.49,84.22,0.12,0.76,54,30
2023-07-22,Tanzania,24.44,83.17,54.51,0.9,0.79,45,25
2023-07-29,Tanzania,24.28,32.16,72.88,0.66,0.42,52,18
2023-08-05,Tanzania,25.93,65.35,60.26,0.02,0.64,63,30
2023-08-12,Tanzania,22.75,36.07,85.13,0.75,0.6,59,27
2023-08-19,Tanzania,27.78,16.13,84.55,0.57,0.39,44,14
2023-08-26,Tanzania,22.83,27.4,55.15,0.62,0.82,57,33
2023-09-02,Tanzania,24.03,10.46,72.96,0.34,0.18,53,10
2023-09-09,Tanzania,21.24,77.02,83.75,0.57,0.63,66,31
2023-09-16,Tanzania,25.25,12.45,56.51,0.22,0.73,75,40
2023-09-23,Tanzania,25.07,4.5,76.55,0.48,0.31,59,16
2023-09-30,Tanzania,30.73,12.46,80.27,0.31,0.67,64,32
2023-10-07,Tanzania,25.78,52.22,75.8,0.72,0.1,56,9
2023-10-14,Tanzania,21.0,17.28,75.65,0.11,0.85,58,35
2023-10-21,Tanzania,28.5,14.5,67.18,0.8,0.79,65,37
2023-10-28,Tanzania,23.88,31.13,59.49,0.79,0.06,55,7
2023-11-04,Tanzania,25.69,43.63,56.88,0.99,0.62,48,22
2023-11-11,Tanzania,22.1,14.89,65.06,0.19,0.0,52,5
2023-11-18,Tanzania,26.31,24.23,79.34,0.54,0.98,61,42
2023-11-25,Tanzania,25.21,35.39,72.6,0.84,0.68,51,25
2023-12-02,Tanzania,22.43,16.82,82.25,0.32,0.7,64,33
2023-12-09,Tanzania,23.26,40.43,56.89,0.53,0.33,56,16
2023-12-16,Tanzania,25.67,50.08,59.51,0.12,0.95,57,38
2023-12-23,Tanzania,27.65,24.1,53.89,0.18,0.87,53,32
2022-01-01,DRC,25.23,14.27,84.17,0.55,0.82,58,34
2022-01-08,DRC,29.18,42.6,64.19,0.74,0.11,72,12
2022-01-15,DRC,17.79,11.24,62.04,0.6,0.53,51,21
2022-01-22,DRC,26.03,20.36,68.69,0.18,0.57,66,29
2022-01-29,DRC,27.9,6.95,57.78,0.59,0.62,64,30
2022-02-05,DRC,23.16,43.52,63.96,0.4,0.37,71,22
2022-02-12,DRC,25.31,19.21,59.49,0.5,0.51,60,24
2022-02-19,DRC,26.63,2.55,65.38,0.8,0.03,49,5
2022-02-26,DRC,21.26,15.22,89.86,0.85,0.46,60,22
2022-03-05,DRC,23.93,14.9,64.61,0.32,0.09,54,8
2022-03-12,DRC,25.92,19.92,62.66,0.33,0.78,46,26
2022-03-19,DRC,28.24,25.04,58.06,0.44,0.22,46,10
2022-03-26,DRC,26.78,7.78,64.88,0.86,0.02,62,7
2022-04-02,DRC,25.8,20.54,87.45,0.15,0.17,55,11
2022-04-09,DRC,25.61,17.95,86.68,0.08,0.02,55,6
2022-04-16,DRC,29.06,14.93,60.18,0.47,0.24,53,13
2022-04-23,DRC,22.93,14.46,54.65,0.18,0.18,61,12
2022-04-30,DRC,24.44,17.96,50.74,0.91,0.57,57,25
2022-05-07,DRC,22.56,83.71,68.95,0.75,0.3,53,14
2022-05-14,DRC,27.02,21.03,53.49,0.76,0.2,41,9
2022-05-21,DRC,24.11,3.68,60.36,0.19,0.51,63,25
2022-05-28,DRC,22.15,41.42,77.55,0.11,0.62,71,33
2022-06-04,DRC,27.0,12.6,77.13,0.36,0.01,59,6
2022-06-11,DRC,23.05,7.46,81.73,0.61,0.11,51,8
2022-06-18,DRC,25.65,34.74,54.23,0.86,0.51,49,19
2022-06-25,DRC,30.35,22.1,81.03,0.75,0.0,62,6
2022-07-02,DRC,23.55,45.89,83.45,0.4,0.96,42,28
2022-07-09,DRC,23.6,25.66,78.07,0.42,0.61,62,28
2022-07-16,DRC,22.59,14.99,65.5,0.89,0.65,58,28
2022-07-23,DRC,26.58,22.81,62.61,0.02,0.71,55,28
2022-07-30,DRC,25.08,20.77,61.41,0.2,0.59,76,34
2022-08-06,DRC,23.2,33.35,55.3,0.61,0.75,34,18
2022-08-13,DRC,25.85,38.89,89.88,0.84,0.64,54,26
2022-08-20,DRC,25.73,21.47,76.55,0.61,0.65,50,24
2022-08-27,DRC,27.43,140.06,64.97,0.11,0.33,70,21
2022-09-03,DRC,24.83,50.04,80.24,0.69,0.51,56,22
2022-09-10,DRC,28.94,18.79,77.39,0.11,0.41,55,19
2022-09-17,DRC,24.33,13.04,51.65,0.98,0.07,51,7
2022-09-24,DRC,25.7,24.47,54.69,0.49,0.65,53,25
2022-10-01,DRC,23.21,35.76,50.24,0.28,0.56,55,23
2022-10-08,DRC,24.48,153.31,54.39,0.09,0.27,49,12
2022-10-15,DRC,24.87,26.22,52.61,0.55,0.92,40,25
2022-10-22,DRC,24.74,13.9,86.0,0.93,0.39,59,19
2022-10-29,DRC,20.54,8.23,66.04,0.13,0.77,56,31
2022-11-05,DRC,27.06,25.67,84.45,0.03,0.89,62,39
2022-11-12,DRC,21.63,51.53,63.51,0.65,0.52,50,20
2022-11-19,DRC,23.06,27.24,63.09,0.56,0.37,51,16
2022-11-26,DRC,29.4,29.75,81.89,0.83,0.42,51,17
2022-12-03,DRC,22.93,43.85,71.87,0.87,0.93,51,33
2022-12-10,DRC,26.61,45.35,77.96,0.69,0.4,48,16
2022-12-17,DRC,24.57,41.83,52.43,0.42,0.47,59,22
2022-12-24,DRC,23.74,26.02,84.43,0.99,0.47,46,17
2022-12-31,DRC,25.43,14.81,60.81,0.08,0.05,65,8
2023-01-07,DRC,25.44,45.55,58.03,0.2,0.99,59,40
2023-01-14,DRC,28.56,36.39,76.16,0.19,0.74,52,28
2023-01-21,DRC,30.6,10.45,89.51,0.42,0.67,60,30
2023-01-28,DRC,20.13,68.43,59.94,0.19,0.29,56,15
2023-02-04,DRC,27.39,60.88,53.2,0.48,0.51,58,23
2023-02-11,DRC,23.19,17.79,71.09,0.51,0.62,53,24
2023-02-18,DRC,25.22,41.23,68.11,0.33,0.56,50,21
2023-02-25,DRC,25.9,32.99,87.07,0.75,1.0,52,36
2023-03-04,DRC,26.7,18.74,79.25,0.92,0.49,50,19
2023-03-11,DRC,24.31,56.37,75.62,0.4,0.39,60,20
2023-03-18,DRC,21.74,20.67,86.49,0.47,0.95,54,36
2023-03-25,DRC,25.19,41.99,58.77,0.81,0.72,42,22
2023-04-01,DRC,20.38,9.15,84.87,0.87,0.62,53,25
2023-04-08,DRC,21.48,25.82,79.97,0.38,0.26,54,13
2023-04-15,DRC,26.27,15.61,61.89,0.89,0.58,55,24
2023-04-22,DRC,24.77,14.31,82.87,0.42,0.53,62,25
2023-04-29,DRC,21.39,3.84,76.13,0.2,0.13,45,7
2023-05-06,DRC,26.96,7.99,58.36,0.12,0.41,66,22
2023-05-13,DRC,29.3,41.74,88.75,0.18,0.88,43,26
2023-05-20,DRC,23.74,17.99,79.66,0.1,0.13,64,11
2023-05-27,DRC,26.63,4.11,72.37,0.28,0.41,52,17
2023-06-03,DRC,19.3,37.32,51.24,0.43,0.73,68,36
2023-06-10,DRC,28.33,29.38,50.3,0.08,0.2,52,11
2023-06-17,DRC,20.79,12.77,77.4,0.38,0.63,55,26
2023-06-24,DRC,32.63,6.68,65.7,0.76,0.44,47,17
2023-07-01,DRC,27.39,27.89,83.21,0.69,0.22,31,7
2023-07-08,DRC,23.19,72.37,77.36,0.12,0.9,47,30
2023-07-15,DRC,28.92,17.77,69.41,0.7,0.27,50,13
2023-07-22,DRC,19.39,30.38,76.94,0.67,0.02,69,7
2023-07-29,DRC,23.09,47.99,60.77,0.44,0.45,46,17
2023-08-05,DRC,31.29,27.49,70.96,0.0,0.19,64,13
2023-08-12,DRC,24.59,44.85,65.61,0.91,0.37,44,14
2023-08-19,DRC,17.82,22.25,79.13,0.91,0.39,51,17
2023-08-26,DRC,22.58,11.13,74.61,0.71,0.33,46,13
2023-09-02,DRC,24.34,9.53,59.36,0.68,0.26,49,12
2023-09-09,DRC,29.68,41.91,60.06,0.53,0.74,57,30
2023-09-16,DRC,22.27,15.94,84.5,0.93,0.59,47,21
2023-09-23,DRC,24.38,27.57,59.17,0.88,0.45,46,17
2023-09-30,DRC,23.25,31.33,52.13,0.82,0.6,49,22
2023-10-07,DRC,29.22,86.86,75.55,0.29,0.42,60,21
2023-10-14,DRC,27.74,50.15,70.11,0.59,0.75,63,34
2023-10-21,DRC,31.81,80.72,62.86,0.82,0.63,51,24
2023-10-28,DRC,24.78,54.68,61.51,0.52,0.58,71,31
2023-11-04,DRC,23.43,70.43,89.3,0.74,0.98,45,30
2023-11-11,DRC,31.98,14.8,77.72,0.78,0.8,49,28
2023-11-18,DRC,30.59,24.82,54.89,0.02,0.87,62,38
2023-11-25,DRC,27.17,29.45,59.7,0.18,0.66,55,27
2023-12-02,DRC,25.83,27.9,89.32,0.92,0.54,47,19
2023-12-09,DRC,30.28,63.07,62.89,0.8,0.75,39,21
2023-12-16,DRC,21.14,20.69,85.53,0.22,0.17,51,10
2023-12-23,DRC,23.47,16.84,62.17,0.42,0.36,63,19
